"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"164","186.376","0.0104167","0.00687533","04/25/23 08:58:04 +375607000 ns","186.3756","01 16 05 03 08 31 0C 03 E1","<= Static status reply","16"
"165","186.42","0.00218767","0.0336253","04/25/23 08:58:04 +419649000 ns","186.4196","01 06","ACK =>",""
"166","186.495","0.00562567","0.0732273","04/25/23 08:58:04 +495064000 ns","186.4951","01 25 02 6F B7","=> Event 1 Status query","25"
"167","186.508","0.00218767","0.00699133","04/25/23 08:58:04 +507681000 ns","186.5077","01 06","ACK <=",""
"168","186.516","0.00676367","0.00635433","04/25/23 08:58:04 +516223000 ns","186.5162","01 27 03 18 00 C3","<= Event 1 Status reply","27"
"169","186.667","0.00218767","0.144158","04/25/23 08:58:04 +667145000 ns","186.6671","01 06","ACK =>",""
"170","186.893","0.00562567","0.223947","04/25/23 08:58:04 +893280000 ns","186.8933","01 16 02 00 EB","=> Static status query","16"
"171","186.908","0.00218667","0.00947233","04/25/23 08:58:04 +908378000 ns","186.9084","01 06","ACK <=",""
"172","186.918","0.0104167","0.00750033","04/25/23 08:58:04 +918065000 ns","186.9181","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"173","186.964","0.00218767","0.0354223","04/25/23 08:58:04 +963904000 ns","186.9639","01 06","ACK =>",""
"174","187.04","0.00562467","0.0736443","04/25/23 08:58:05 +39736000 ns","187.0397","01 27 02 6F B5","=> Event 1 Status query","27"
"175","187.053","0.00218767","0.00727233","04/25/23 08:58:05 +52633000 ns","187.0526","01 06","ACK <=",""
"176","187.062","0.00697967","0.00739533","04/25/23 08:58:05 +62216000 ns","187.0622","01 29 03 18 00 CD","<= Event 1 Status reply","29"
"177","187.211","0.00218767","0.1421","04/25/23 08:58:05 +211296000 ns","187.2113","01 06","ACK =>",""
"178","187.438","0.00562467","0.224683","04/25/23 08:58:05 +438167000 ns","187.4382","01 18 02 00 E5","=> Static status query","18"
"179","187.455","0.00218767","0.0110023","04/25/23 08:58:05 +454794000 ns","187.4548","01 06","ACK <=",""
"180","187.464","0.0105207","0.00749333","04/25/23 08:58:05 +464475000 ns","187.4645","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","1A"
"181","187.508","0.00218767","0.0328573","04/25/23 08:58:05 +507853000 ns","187.5079","01 06","ACK =>",""
"182","187.584","0.00562467","0.0735343","04/25/23 08:58:05 +583575000 ns","187.5836","01 29 02 6F BB","=> Event 1 Status query","29"
"183","187.599","0.00218767","0.00995433","04/25/23 08:58:05 +599154000 ns","187.5992","01 06","ACK <=",""
"184","187.609","0.00697867","0.00739533","04/25/23 08:58:05 +608737000 ns","187.6087","01 2B 03 18 00 CF","<= Event 1 Status reply","2B"
"185","187.652","0.00218767","0.0358783","04/25/23 08:58:05 +651594000 ns","187.6516","01 06","ACK =>",""
"186","187.98","0.00562567","0.325723","04/25/23 08:58:05 +979505000 ns","187.9795","01 1A 02 00 E7","=> Static status query","1A"
"187","187.992","0.00260467","0.00732333","04/25/23 08:58:05 +992454000 ns","187.9924","01 06","ACK <=",""
"188","188.002","0.0103127","0.00687433","04/25/23 08:58:06 +1933000 ns","188.0019","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","1C"
"189","188.134","0.00562467","0.122153","04/25/23 08:58:06 +134399000 ns","188.1344","01 2B 02 6F B9","=> Event 1 Status query","2B"
"190","188.147","0.00218667","0.00700533","04/25/23 08:58:06 +147029000 ns","188.147","01 06","ACK <=",""
"191","188.211","0.0106247","0.0619723","04/25/23 08:58:06 +211188000 ns","188.2112","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","1C"
"192","188.342","0.00218767","0.120284","04/25/23 08:58:06 +342097000 ns","188.3421","01 06","ACK =>",""
"193","188.349","0.00677067","0.00439433","04/25/23 08:58:06 +348679000 ns","188.3487","01 2D 03 18 00 C9","<= Event 1 Status reply","2D"
"194","188.362","0.00218767","0.00685533","04/25/23 08:58:06 +362305000 ns","188.3623","01 06","ACK =>",""
"195","188.388","0.00218767","0.0230203","04/25/23 08:58:06 +387513000 ns","188.3875","01 06","ACK =>",""
"196","188.513","0.00562467","0.123539","04/25/23 08:58:06 +513240000 ns","188.5132","01 1C 02 00 E1","=> Static status query","1C"
"197","188.531","0.00239567","0.0126103","04/25/23 08:58:06 +531475000 ns","188.5315","01 06","ACK <=",""
"198","188.542","0.0104157","0.00791733","04/25/23 08:58:06 +541788000 ns","188.5418","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","1E"
"199","188.579","0.00218767","0.0272853","04/25/23 08:58:06 +579489000 ns","188.5795","01 06","ACK =>",""
"200","188.655","0.00562467","0.0737483","04/25/23 08:58:06 +655425000 ns","188.6554","01 2D 02 6F BF","=> Event 1 Status query","2D"
"201","188.675","0.00218767","0.0139583","04/25/23 08:58:06 +675008000 ns","188.675","01 06","ACK <=",""
"202","188.679","0.00677067","0.00166633","04/25/23 08:58:06 +678862000 ns","188.6789","01 2F 03 18 00 CB","<= Event 1 Status reply","2F"
"203","188.724","0.00218767","0.0380203","04/25/23 08:58:06 +723653000 ns","188.7236","01 06","ACK =>",""
"204","189.051","0.00562467","0.325515","04/25/23 08:58:07 +51356000 ns","189.0514","01 1E 02 00 E3","=> Static status query","1E"
"205","189.064","0.00218767","0.00726533","04/25/23 08:58:07 +64246000 ns","189.0642","01 06","ACK <=",""
"206","189.073","0.0107287","0.00687533","04/25/23 08:58:07 +73309000 ns","189.0733","01 10 05 03 08 31 0C 03 E7","<= Static status reply","10"
"207","189.202","0.00562467","0.118038","04/25/23 08:58:07 +202076000 ns","189.2021","01 2F 02 6F BD","=> Event 1 Status query","2F"
"208","189.215","0.00260367","0.00684933","04/25/23 08:58:07 +214550000 ns","189.2146","01 06","ACK <=",""
"209","189.285","0.0106247","0.0674923","04/25/23 08:58:07 +284646000 ns","189.2847","01 10 05 03 08 31 0C 03 E7","<= Static status reply","10"
"210","189.306","0.00218767","0.0111783","04/25/23 08:58:07 +306449000 ns","189.3064","01 06","ACK =>",""
"211","189.314","0.00677067","0.00486333","04/25/23 08:58:07 +313500000 ns","189.3135","01 21 03 18 00 C5","<= Event 1 Status reply","21"
"212","189.322","0.00218767","0.00190733","04/25/23 08:58:07 +322178000 ns","189.3222","01 06","ACK =>",""
"213","189.35","0.00218767","0.0256243","04/25/23 08:58:07 +349990000 ns","189.35","01 06","ACK =>",""
"214","189.6","0.00562467","0.247704","04/25/23 08:58:07 +599882000 ns","189.5999","01 10 02 00 ED","=> Static status query","10"
"215","189.613","0.00218767","0.00734333","04/25/23 08:58:07 +612850000 ns","189.6129","01 06","ACK <=",""
"216","189.622","0.0105207","0.00718733","04/25/23 08:58:07 +622225000 ns","189.6222","01 12 05 03 08 31 0C 03 E5","<= Static status reply","12"
"217","189.668","0.00218767","0.0349473","04/25/23 08:58:07 +667693000 ns","189.6677","01 06","ACK =>",""
"218","189.744","0.00562467","0.0737483","04/25/23 08:58:07 +743629000 ns","189.7436","01 21 02 6F B3","=> Event 1 Status query","21"
"219","189.756","0.00218067","0.00692133","04/25/23 08:58:07 +756175000 ns","189.7562","01 06","ACK <=",""
"220","189.765","0.00687467","0.00645833","04/25/23 08:58:07 +764814000 ns","189.7648","01 23 03 18 00 C7","<= Event 1 Status reply","23"
"221","189.915","0.00218767","0.143604","04/25/23 08:58:07 +915293000 ns","189.9153","01 06","ACK =>",""
"222","190.142","0.00562567","0.224572","04/25/23 08:58:08 +142053000 ns","190.1421","01 12 02 00 EF","=> Static status query","12"
"223","190.156","0.00218767","0.00804633","04/25/23 08:58:08 +155725000 ns","190.1557","01 06","ACK <=",""
"224","190.165","0.0105147","0.00739533","04/25/23 08:58:08 +165308000 ns","190.1653","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"225","190.212","0.00218767","0.0357083","04/25/23 08:58:08 +211531000 ns","190.2115","01 06","ACK =>",""
"226","190.287","0.00562567","0.0735403","04/25/23 08:58:08 +287259000 ns","190.2873","01 23 02 6F B1","=> Event 1 Status query","23"
"227","190.3","0.00218667","0.00720033","04/25/23 08:58:08 +300085000 ns","190.3001","01 06","ACK <=",""
"228","190.31","0.00687467","0.00739633","04/25/23 08:58:08 +309668000 ns","190.3097","01 25 03 18 00 C1","<= Event 1 Status reply","25"
